Date,Open,High,Low,Close,Volume
2020-08-03,388.8,407.07,388.22,405.32,700668
2020-08-04,407.27,411.16,402.6,405.81,730545
2020-08-05,405.13,407.75,396.97,398.52,352209
2020-08-06,399.98,405.91,396.19,400.95,242746
2020-08-07,400.46,419.52,398.71,415.04,349477
2020-08-10,415.04,422.82,412.32,413.49,279277
2020-08-11,415.24,417.57,400.66,404.94,230808
2020-08-12,404.94,408.63,398.52,406.3,236429
2020-08-13,406.3,408.14,399.2,399.2,317716
2020-08-14,398.33,404.26,395.6,399.2,174307
2020-08-17,399.2,403.38,395.99,396.58,330890
2020-08-18,396.58,398.13,390.16,394.92,252092
2020-08-19,394.63,403.38,392.69,403.38,195380
2020-08-20,402.41,402.41,393.27,397.16,143007
2020-08-21,401.92,403.77,397.55,397.74,184029
2020-08-24,402.6,407.37,400.27,402.99,192414
2020-08-25,402.41,404.35,395.6,396.58,259580
2020-08-26,398.03,425.44,396.38,424.76,259014
2020-08-27,422.82,449.06,420.97,447.9,653695
2020-08-28,442.55,445.47,431.37,433.51,363064
2020-08-31,433.51,437.3,422.82,426.22,345310
2020-09-01,426.22,435.26,424.18,428.36,288047
2020-09-02,426.81,438.37,425.83,427.58,172184
2020-09-03,430.99,434.29,417.77,418.54,311152
2020-09-04,408.05,423.7,400.08,416.02,837267
2020-09-07,418.06,426.81,413.78,424.38,156867
2020-09-08,427.68,427.97,416.21,421.27,399347
2020-09-09,420.88,422.14,414.66,419.9,431711
2020-09-10,419.22,421.17,415.82,416.99,474267
2020-09-11,417.96,420.88,415.14,418.15,435823
2020-09-14,420.88,422.33,405.62,405.62,627333
2020-09-15,405.52,405.52,389.29,391.72,462609
2020-09-16,394.24,401.34,390.26,393.95,353611
2020-09-17,390.74,394.83,385.69,392.69,337940
2020-09-18,393.66,399.78,390.84,390.84,707481
2020-09-21,390.74,397.74,374.51,374.51,433279
2020-09-22,380.34,396.48,379.27,389.68,574228
2020-09-23,389.68,397.94,389.68,395.6,330839
2020-09-24,392.69,397.94,387.15,391.33,549577
2020-09-25,393.27,398.52,388.9,398.52,288999
2020-09-28,402.41,417.57,401.73,417.57,324594
2020-09-29,417.86,422.53,412.61,419.32,320709
2020-09-30,413.1,418.35,406.69,406.69,441041
2020-10-01,405.23,405.23,366.44,371.89,1204385
2020-10-02,379.18,389.29,373.35,386.08,779956
2020-10-05,391.72,399.01,384.04,387.54,399721
2020-10-06,388.8,389.58,362.56,364.31,816597
2020-10-07,364.79,369.17,355.46,366.54,544704
2020-10-08,370.53,378.01,369.26,378.01,373604
2020-10-09,378.98,378.98,363.04,367.61,378034
2020-10-12,367.42,371.98,360.61,360.61,443210
2020-10-13,360.61,373.44,356.72,372.28,291217
2020-10-14,372.28,386.56,369.46,378.11,436664
2020-10-15,375.58,376.65,362.85,364.5,320427
2020-10-16,367.42,379.08,367.42,368,645907
2020-10-19,370.92,373.25,361.58,361.58,319308
2020-10-20,361.58,367.42,352.06,357.6,499640
2020-10-21,356.92,359.06,344.77,355.56,706021
2020-10-22,349.92,365.96,347.98,356.34,342807
2020-10-23,357.11,359.74,342.82,343.6,804535
2020-10-26,344.57,355.36,344.09,349.92,385704
2020-10-27,353.03,369.36,352.45,353.91,705996
2020-10-28,339.23,343.99,311.04,321.73,1613894
2020-10-29,326.59,346.52,324.65,344.09,786422
2020-10-30,341.85,342.14,323.97,326.01,598889
2020-11-02,333.98,339.03,331.84,333.1,477026
2020-11-03,337.77,356.24,333.4,354.78,602005
2020-11-04,354.78,376.07,349.73,370.53,776742
2020-11-05,377.04,385.11,359.64,360.71,786035
2020-11-06,362.56,378.11,361.1,372.37,388962
2020-11-09,378.11,389.87,358.77,361,1001162
2020-11-10,364.5,368.1,343.6,355.46,832041
2020-11-12,360.61,367.81,356.92,361.97,456723
2020-11-13,362.07,362.07,352.93,353.23,294688
2020-11-16,359.64,361.49,350.31,350.31,317032
2020-11-17,349.92,360.61,349.14,359.25,302241
2020-11-18,360.61,368.19,359.64,364.01,318248
2020-11-19,363.53,363.53,355.27,357.7,348228
2020-11-20,357.79,365.57,357.7,361.78,304060
2020-11-23,366.93,378.11,361.58,362.17,335254
2020-11-24,364.5,366.44,355.27,360.71,286371
2020-11-25,361.78,363.04,352.93,353.81,356756
2020-11-26,358.67,366.93,347.98,348.85,510665
2020-11-27,348.95,353.81,342.73,352.54,393813
2020-11-30,355.75,380.25,355.75,378.59,1085259
2020-12-01,381.41,406.49,381.41,394.63,965505
2020-12-02,399.69,414.07,393.37,413.1,582107
2020-12-03,414.07,416.02,406.3,409.21,496345
2020-12-04,410.96,431.08,410.67,430.6,485098
2020-12-07,434,451.2,390.65,413.2,1468759
2020-12-08,388.8,398.91,374.22,383.94,1925086
2020-12-09,388.51,400.56,372.47,384.72,1454171
2020-12-10,380.54,389.87,348.27,351.86,2105235
2020-12-11,348.75,348.75,299.67,311.53,4080726
2020-12-14,257.58,289.66,231.82,287.81,5519428
2020-12-15,295.29,307.93,285.77,291.6,2732225
2020-12-16,290.92,295.49,281.88,291.6,1152674
2020-12-17,296.46,305.11,296.46,300.54,1104318
2020-12-18,252.72,264.97,235.71,263.8,5594508
2020-12-21,252.72,257.87,241.06,248.83,2789235
2020-12-22,255.25,268.18,254.66,260.2,1537522
2020-12-23,267.3,267.88,244.94,261.47,1490437
2020-12-28,257.58,266.33,249.9,266.33,1062237
2020-12-29,271.67,277.21,266.72,272.65,710269
2020-12-30,272.65,272.65,262.83,267.01,668864
2021-01-04,268.76,271.19,260.59,268.66,714611
2021-01-05,267.88,267.88,256.22,258.26,933280
2021-01-07,259.52,259.62,241.06,241.06,1567206
2021-01-08,243.19,246.31,227.64,233.18,1565113
2021-01-11,233.28,249.8,233.28,239.11,818870
2021-01-12,239.11,245.82,236.2,241.54,675252
2021-01-13,241.54,246.4,240.18,242.9,673688
2021-01-14,246.31,269.34,244.26,257.58,1322166
2021-01-15,257.58,259.72,244.07,249.03,782524
2021-01-18,249.8,250.97,242.32,246.4,494066
2021-01-19,248.15,249.8,236,241.25,774117
